City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bayburt,100,TR,1587421453,46,40.26,40.23,45.54,1.74
Gigmoto,100,PH,1587421463,82,13.78,124.39,81.95,11.16
Marin,20,US,1587421463,52,38.07,-122.73,66.2,10.29
Sept-Îles,20,CA,1587421429,37,50.2,-66.38,37.4,10.29
Port Blair,2,IN,1587421463,72,11.67,92.75,83.61,5.84
Caravelas,24,BR,1587421463,80,-17.71,-39.25,76.26,13.73
Preobrazheniye,100,RU,1587421463,87,42.9,133.91,36.91,9.78
Osakarovka,100,KZ,1587421463,35,50.56,72.57,57.18,11.1
Plouzané,90,FR,1587421463,100,48.38,-4.62,51.8,8.05
Weiser,1,US,1587421356,17,44.25,-116.97,73.4,6.93
Kiunga,96,PG,1587421464,96,-6.12,141.29,73.22,1.19
Filingué,74,NE,1587421464,33,14.35,3.32,91.69,9.35
Vao,34,NC,1587421464,79,-22.67,167.48,76.1,12.5
Osoyoos,20,CA,1587421464,30,49.03,-119.45,73.4,11.41
Nānākuli,1,US,1587421464,65,21.39,-158.15,80.6,9.17
Kribi,86,CM,1587421464,83,2.95,9.92,77.23,5.66
Lincoln,0,US,1587421201,25,40.8,-96.67,70.0,8.99
Manavālakurichi,20,IN,1587421464,78,8.13,77.3,82.4,3.36
Alot,28,IN,1587421464,25,23.77,75.55,78.87,4.03
Dodoma,20,TZ,1587421464,88,-6.17,35.74,68.0,8.05
Quincy,90,US,1587421336,56,42.25,-71.0,46.99,16.11
Sambava,93,MG,1587421464,88,-14.27,50.17,73.42,8.05
Baijiantan,0,CN,1587421465,33,45.63,85.18,62.15,2.8
Ibrā’,65,OM,1587421465,28,22.69,58.53,82.74,2.24
Raudeberg,0,NO,1587421465,74,61.99,5.14,48.0,4.68
Egvekinot,25,RU,1587421465,89,66.32,-179.17,8.71,7.43
Camacha,20,PT,1587421465,55,33.08,-16.33,60.8,19.46
Lamont,1,US,1587421465,49,35.26,-118.91,73.0,10.29
San Antonio,1,US,1587421377,22,29.42,-98.49,93.2,9.17
Thap Than,20,TH,1587421465,53,15.46,99.89,83.61,6.96
Letlhakane,0,BW,1587421465,32,-21.42,25.58,64.06,7.27
Manaus,75,BR,1587421465,88,-3.1,-60.02,77.0,5.82
Fayaoué,46,NC,1587421466,82,-20.65,166.53,78.08,18.48
Blagodatnoye,75,RU,1587421466,93,45.4,42.59,41.0,11.18
Yerbogachën,3,RU,1587421466,93,61.28,108.01,23.38,4.23
Juxtlahuaca,26,MX,1587421466,25,17.43,-99.15,90.84,9.1
Ati,68,TD,1587421466,12,13.22,18.34,84.85,6.4
Chifeng,0,CN,1587421466,58,42.27,118.96,27.48,28.59
Guerrero Negro,78,MX,1587421466,53,27.98,-114.06,67.75,18.43
Hamilton,20,US,1587421466,27,39.18,-84.53,64.99,10.29
Nueva Gerona,6,CU,1587421466,70,21.88,-82.8,83.89,19.28
Marsh Harbour,100,BS,1587421466,68,26.54,-77.06,83.86,22.88
Teguise,20,ES,1587421467,72,29.06,-13.56,68.0,13.87
Thunder Bay,75,CA,1587421275,34,48.4,-89.32,37.99,14.99
Rochegda,25,RU,1587421467,97,62.8,43.25,29.14,2.28
Hobyo,98,SO,1587421467,73,5.35,48.53,84.52,12.21
Saint George,1,US,1587421477,25,37.1,-113.58,73.4,3.36
Heraclea,35,TR,1587421477,35,37.51,34.05,59.56,0.25
Podyuga,1,RU,1587421477,96,61.09,40.86,27.84,2.8
Forsytheganj,15,BY,1587421477,78,52.63,29.73,36.12,7.31
Itupiranga,40,BR,1587421477,94,-5.13,-49.33,80.6,0.89
Kailua,75,US,1587421477,54,21.4,-157.74,84.2,10.29
Konëvo,60,RU,1587421477,97,62.12,39.32,30.07,2.75
Ketchikan,90,US,1587421477,87,55.34,-131.65,46.4,17.22
Qaqortoq,54,GL,1587421478,40,60.72,-46.03,33.8,5.82
Sitka,90,US,1587421478,93,57.05,-135.33,44.6,9.17
Yar-Sale,99,RU,1587421478,96,66.83,70.83,32.7,10.58
Horsham,31,GB,1587421478,66,51.06,-0.33,52.0,11.41
Genhe,100,CN,1587421478,87,50.78,121.52,15.58,15.08
Langxiang,100,CN,1587421478,93,46.95,128.88,25.74,3.44
Batemans Bay,55,AU,1587421478,94,-35.72,150.18,46.0,1.01
Muli,66,MV,1587421478,73,2.92,73.57,84.9,7.54
Juneau,90,US,1587421478,75,58.3,-134.42,46.4,9.17
Koungou,20,YT,1587421478,78,-12.73,45.2,80.6,2.24
Saint Anthony,40,US,1587421479,46,45.02,-93.22,54.0,25.28
Gimli,86,CA,1587421479,50,50.63,-96.99,33.01,10.0
Santa Marta,73,CO,1587421479,71,11.24,-74.2,82.56,11.72
Westport,1,US,1587421479,46,41.14,-73.36,55.0,6.93
Salalah,75,OM,1587421479,74,17.02,54.09,82.4,8.05
Naryan-Mar,99,RU,1587421479,97,67.67,53.09,27.91,15.77
Sarāi Mīr,100,IN,1587421479,35,26.02,82.92,82.76,18.1
Los Alamos,90,US,1587421479,21,35.89,-106.31,62.01,5.82
Yenagoa,6,NG,1587421479,89,4.92,6.26,78.15,4.56
Zaragoza,88,ES,1587421413,76,41.66,-0.88,57.2,8.05
Pomabamba,7,PE,1587421480,18,-8.83,-77.47,60.62,6.38
Laguna,40,US,1587421480,49,38.42,-121.42,71.01,6.93
Simplício Mendes,78,BR,1587421480,83,-7.85,-41.91,76.95,2.82
Ballina,100,AU,1587421480,77,-28.87,153.57,66.2,5.82
Fukuechō,100,JP,1587421480,52,32.69,128.84,57.58,21.5
Sterling,40,US,1587421480,42,39.01,-77.43,64.0,4.7
Markova,56,UA,1587421480,66,48.68,24.41,35.49,1.12
Coyhaique,20,CL,1587421480,70,-45.58,-72.07,44.6,3.36
Ozinki,100,RU,1587421444,81,51.18,49.68,52.02,7.34
Channel-Port aux Basques,97,CA,1587421480,92,47.57,-59.14,33.51,16.08
Mali,5,GN,1587421480,27,12.08,-12.3,98.6,4.7
Sīrjān,99,IR,1587421328,39,29.45,55.68,62.33,6.87
Kibaya,59,TZ,1587421481,66,-5.3,36.57,58.98,3.53
Gushikawa,90,JP,1587421481,88,26.35,127.87,68.0,3.36
Hearst,92,CA,1587421481,69,49.68,-83.67,37.83,11.99
Lagoa,95,PT,1587421481,67,39.05,-27.98,59.5,14.18
Prince Rupert,90,CA,1587421481,73,54.32,-130.32,48.2,4.7
Kanadukathan,20,IN,1587421491,78,10.18,78.78,82.4,3.36
Bathsheba,75,BB,1587421491,83,13.22,-59.52,78.8,5.82
Kiryat Gat,0,IL,1587421443,15,31.61,34.76,64.99,6.26
Igede,6,NG,1587421492,35,10.05,5.94,89.04,4.41
Biak,90,ID,1587421492,73,-0.91,122.88,80.69,3.24
Manoharpur,20,IN,1587421492,60,27.3,75.95,73.4,2.24
Cabinda,86,AO,1587421492,85,-5.55,12.2,80.28,11.21
Dwārka,0,IN,1587421492,84,22.24,68.97,80.47,14.38
Doha,100,QA,1587421325,61,25.29,51.53,80.01,4.7
Kisangani,80,CD,1587421492,80,0.52,25.2,71.98,0.43
Tucuruí,60,BR,1587421453,84,-3.77,-49.67,80.29,1.16
Tazovsky,100,RU,1587421492,97,67.47,78.7,33.33,11.45
Moerai,3,PF,1587421492,75,-22.43,-151.33,78.67,21.32
Dunedin,87,NZ,1587421492,65,-45.87,170.5,49.44,5.23
Deer Lake,40,CA,1587421337,69,49.17,-57.43,39.2,10.29
Grand-Santi,100,GF,1587421492,95,4.25,-54.38,74.8,1.81
Venice,90,US,1587421493,88,27.1,-82.45,73.4,10.29
Otradnoye,90,RU,1587421493,80,59.78,30.82,42.01,4.47
Vilhena,75,BR,1587421348,94,-12.74,-60.15,75.2,6.93
Bolkhov,0,RU,1587421493,77,53.44,36.0,35.98,11.59
Hirara,75,JP,1587421493,100,24.8,125.28,73.4,8.05
Balikpapan,20,ID,1587421493,94,-1.27,116.83,77.0,4.7
Simao,0,CN,1587421493,36,22.79,100.97,63.86,0.76
Westminster,40,US,1587421459,25,39.84,-105.04,66.99,9.17
Abonnema,11,NG,1587421493,83,4.71,6.79,79.97,6.44
Ust'-Shonosha,0,RU,1587421493,96,61.15,41.34,28.67,3.22
Yining,96,CN,1587421493,88,29.04,114.56,55.67,1.74
Ulaanbaatar,0,MN,1587421426,59,47.91,106.88,1.4,2.24
Chumikan,100,RU,1587421494,94,54.72,135.31,20.79,11.16
At-Bashi,13,KG,1587421494,29,41.17,75.81,44.08,1.79
Guarapari,89,BR,1587421447,73,-20.67,-40.5,75.2,8.05
Kuril'sk,100,RU,1587421494,93,45.23,147.88,35.85,18.37
Tombouctou,18,ML,1587421494,13,20.0,-3.0,81.23,10.18
Galesong,20,ID,1587421494,94,-5.32,119.37,73.4,2.24
Imeni Poliny Osipenko,100,RU,1587421494,95,52.42,136.49,20.77,21.65
Cabedelo,20,BR,1587421324,94,-6.98,-34.83,77.0,3.36
Port-Gentil,20,GA,1587421494,94,-0.72,8.78,78.8,3.36
Morondava,0,MG,1587421494,72,-20.28,44.28,78.3,4.21
San Patricio,5,MX,1587421494,74,19.22,-104.7,86.0,17.22
Menomonie,90,US,1587421417,86,44.88,-91.92,45.0,14.99
Te Anau,93,NZ,1587421495,72,-45.42,167.72,48.15,2.55
Miles City,20,US,1587421495,23,46.41,-105.84,64.4,23.04
Oltu,100,TR,1587421495,49,40.55,42.0,50.77,3.04
Oberá,0,AR,1587421495,47,-27.49,-55.12,74.05,2.13
Aktash,2,RU,1587421832,42,50.3,87.73,28.58,1.77
Žiri,100,SI,1587421833,70,46.04,14.11,51.01,12.95
Yoichi,75,JP,1587421833,71,43.2,140.77,50.0,8.05
Bend,40,US,1587421833,19,44.06,-121.32,68.0,3.36
Iqaluit,75,CA,1587421833,64,63.75,-68.51,1.4,12.75
Tottori-shi,90,JP,1587421642,67,35.5,134.23,57.2,18.34
Pueblo,90,US,1587421554,18,38.25,-104.61,71.6,12.75
Kumul,27,CN,1587421833,21,42.8,93.45,56.5,5.23
Kosonsoy,0,UZ,1587421833,44,41.26,71.55,60.8,6.93
Ponferrada,83,ES,1587421834,99,42.55,-6.6,48.0,0.92
Panama City,20,PA,1587421834,52,8.99,-79.52,91.4,11.41
Kandrian,82,PG,1587421834,66,-6.22,149.55,85.59,5.26
Terrasini,87,IT,1587421834,79,38.15,13.08,63.0,1.99
Saldanha,100,ZA,1587421834,82,-33.01,17.94,60.8,2.24
Uvat,100,RU,1587421834,94,59.14,68.9,38.86,4.12
Cockburn Town,0,TC,1587421834,80,21.46,-71.14,79.68,14.18
Biryusinsk,99,RU,1587421834,66,55.96,97.82,33.26,10.0
Winchester,66,GB,1587421834,53,51.07,-1.32,53.01,16.11
Gharghoda,48,IN,1587421834,27,22.17,83.35,79.65,2.68
Cochabamba,20,BO,1587421835,32,-17.39,-66.16,68.0,9.17
Grandview,40,US,1587421236,43,38.89,-94.53,70.0,11.41
Richards Bay,0,ZA,1587421507,88,-28.78,32.04,71.22,11.61
Wonthaggi,74,AU,1587421507,80,-38.6,145.59,53.01,8.79
Menongue,61,AO,1587421507,60,-14.66,17.69,62.47,4.27
Pacific Grove,75,US,1587421507,63,36.62,-121.92,61.0,11.41
Puyang,100,CN,1587421507,87,29.46,119.89,57.0,6.58
Pentecoste,100,BR,1587421508,72,-3.79,-39.27,84.0,10.0
Greenfield,75,US,1587421508,21,42.96,-88.01,62.6,23.04
Amga,0,RU,1587421508,90,60.9,131.96,13.24,1.45
Callaguip,40,PH,1587421508,88,18.07,120.49,77.0,2.24
Bowen,90,AU,1587421508,94,-20.02,148.23,78.01,3.36
Dodge City,20,US,1587421508,20,37.75,-100.02,73.4,4.7
Manzhouli,100,CN,1587421508,76,49.6,117.43,20.25,23.51
Pimentel,4,PE,1587421508,75,-6.84,-79.93,73.51,14.34
San Jose,75,US,1587421347,52,37.34,-121.89,66.0,13.87
Seymchan,99,RU,1587421508,82,62.88,152.43,11.84,1.83
Zhangjiakou,5,CN,1587421509,50,40.81,114.88,29.25,16.67
Sandwick,0,GB,1587421509,87,60.0,-1.25,46.4,11.41
Gazojak,0,TM,1587421509,19,41.19,61.4,72.81,6.8
Kyshtovka,100,RU,1587421509,73,56.55,76.63,50.09,10.25
Santa Cruz de La Palma,75,ES,1587421509,72,28.68,-17.76,68.0,20.8
Aykhal,0,RU,1587421509,82,66.0,111.5,19.96,5.99
Glens Falls,1,US,1587421509,19,43.31,-73.64,52.0,9.17
Price,1,US,1587421509,23,39.6,-110.81,60.8,2.73
Lethem,100,GY,1587421509,69,3.38,-59.8,81.09,14.88
Jiexiu,66,CN,1587421509,33,37.02,111.91,45.63,1.81
